sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:14508","MRPS22","mitochondrial ribosomal protein S22","","MRP-S22,GK002,C3orf5,GIBT,mS22","3q23","Small subunit mitochondrial ribosomal proteins"
"HGNC:14509","MRPS23","mitochondrial ribosomal protein S23","","MRP-S23,CGI-138,HSPC329,mS23","17q22","Small subunit mitochondrial ribosomal proteins"
"HGNC:14510","MRPS24","mitochondrial ribosomal protein S24","","MRP-S24,HSPC335","7p13","Small subunit mitochondrial ribosomal proteins"
"HGNC:14511","MRPS25","mitochondrial ribosomal protein S25","","MRP-S25,FLJ00023,DKFZp313H0817,RPMS25,mS25","3p25.1","Small subunit mitochondrial ribosomal proteins"
"HGNC:14045","MRPS26","mitochondrial ribosomal protein S26","C20orf193","MRP-S13,MRP-S26,RPMS13,dJ534B8.3,mS26","20p13","Small subunit mitochondrial ribosomal proteins"
"HGNC:14512","MRPS27","mitochondrial ribosomal protein S27","","KIAA0264,mS27","5q13.2","Small subunit mitochondrial ribosomal proteins"
"HGNC:14513","MRPS28","mitochondrial ribosomal protein S28","","MRP-S28,HSPC007,MRPS35","8q21.13","Small subunit mitochondrial ribosomal proteins"
"HGNC:16632","MRPS31","mitochondrial ribosomal protein S31","","IMOGN38,mS31","13q14.11","Small subunit mitochondrial ribosomal proteins"
"HGNC:16634","MRPS33","mitochondrial ribosomal protein S33","","CGI-139,mS33","7q34","Small subunit mitochondrial ribosomal proteins"
"HGNC:16618","MRPS34","mitochondrial ribosomal protein S34","","MRP-S12,MGC2616,mS34","16p13.3","Small subunit mitochondrial ribosomal proteins"
"HGNC:16635","MRPS35","mitochondrial ribosomal protein S35","","MRPS28,MDS023,mS35","12p11.22","Small subunit mitochondrial ribosomal proteins"
"HGNC:23518","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1","C10orf34","FLJ25854,mS37","10q22.2","Small subunit mitochondrial ribosomal proteins"
"HGNC:24114","AURKAIP1","aurora kinase A interacting protein 1","","AKIP,AIP,FLJ20608,mS38","1p36.33","Small subunit mitochondrial ribosomal proteins"
"HGNC:24717","PTCD3","pentatricopeptide repeat domain 3","","FLJ20758,DKFZp666K071,mS39","2p11.2","Small subunit mitochondrial ribosomal proteins"
"HGNC:14516","MRPS18B","mitochondrial ribosomal protein S18B","","MRPS18-2,PTD017,C6orf14,HSPC183,mS40","6p21.33","Small subunit mitochondrial ribosomal proteins"
"HGNC:6502","RPSA","ribosomal protein SA","LAMR1","LRP,37LRP,p40,SA,uS2","3p22.1","S ribosomal proteins"
"HGNC:10404","RPS2","ribosomal protein S2","","LLREP3,S2,uS5","16p13.3","S ribosomal proteins"
"HGNC:10420","RPS3","ribosomal protein S3","","FLJ26283,FLJ27450,MGC87870,S3,uS3","11q13.4","S ribosomal proteins"
"HGNC:10421","RPS3A","ribosomal protein S3A","MFTL","S3A,eS1","4q31.3","S ribosomal proteins"
"HGNC:10424","RPS4X","ribosomal protein S4 X-linked","","DXS306,CCG2,SCAR,SCR10,FLJ40595,RPS4,eS4","Xq13.1","S ribosomal proteins"
"HGNC:10425","RPS4Y1","ribosomal protein S4 Y-linked 1","RPS4Y","MGC5070,MGC119100,S4","Yp11.2","S ribosomal proteins"
"HGNC:18501","RPS4Y2","ribosomal protein S4 Y-linked 2","RPS4Y2P","","Yq11.223","S ribosomal proteins"
"HGNC:10426","RPS5","ribosomal protein S5","","S5,uS7","19q13.43","S ribosomal proteins"
"HGNC:10429","RPS6","ribosomal protein S6","","S6,eS6","9p22.1","S ribosomal proteins"
"HGNC:10440","RPS7","ribosomal protein S7","","S7,eS7","2p25.3","S ribosomal proteins"
"HGNC:10441","RPS8","ribosomal protein S8","","S8,eS8","1p34.1","S ribosomal proteins"
"HGNC:10442","RPS9","ribosomal protein S9","","S9,uS4","19q13.42","S ribosomal proteins"
"HGNC:10383","RPS10","ribosomal protein S10","","MGC88819,S10,eS10","6p21.31","S ribosomal proteins"
"HGNC:10384","RPS11","ribosomal protein S11","","S11,uS17","19q13.3","S ribosomal proteins"
"HGNC:10385","RPS12","ribosomal protein S12","","S12,eS12","6q23.2","S ribosomal proteins"
"HGNC:10386","RPS13","ribosomal protein S13","","S13,uS15","11p15.1","S ribosomal proteins"
"HGNC:10387","RPS14","ribosomal protein S14","","EMTB,S14,uS11","5q33.1","S ribosomal proteins"
"HGNC:10388","RPS15","ribosomal protein S15","","RIG,MGC111130,S15,uS19","19p13.3","S ribosomal proteins"
"HGNC:10389","RPS15A","ribosomal protein S15a","","S15A,uS8","16p12.3","S ribosomal proteins"
"HGNC:10396","RPS16","ribosomal protein S16","","S16,uS9","19q13.2","S ribosomal proteins"
"HGNC:10397","RPS17","ribosomal protein S17","RPS17L","RPS17L1,RPS17L2,MGC72007,S17,eS17","15q25.2","S ribosomal proteins"
"HGNC:10401","RPS18","ribosomal protein S18","D6S218E","KE3,KE-3,HKE3,S18,uS13","6p21.32","S ribosomal proteins"
"HGNC:10402","RPS19","ribosomal protein S19","LOH19CR1","S19,eS19,DBA","19q13.2","S ribosomal proteins"
"HGNC:10405","RPS20","ribosomal protein S20","","S20,uS10","8q12.1","S ribosomal proteins"
"HGNC:10409","RPS21","ribosomal protein S21","","S21,eS21","20q13.33","S ribosomal proteins"
"HGNC:10410","RPS23","ribosomal protein S23","","S23,uS12","5q14.2","S ribosomal proteins"
"HGNC:10411","RPS24","ribosomal protein S24","","S24,eS24","10q22.3","S ribosomal proteins"
"HGNC:10413","RPS25","ribosomal protein S25","","S25,eS25","11q23.3","S ribosomal proteins"
"HGNC:10414","RPS26","ribosomal protein S26","","S26,eS26","12q13.2","S ribosomal proteins"
"HGNC:10416","RPS27","ribosomal protein S27","","MPS-1,MPS1,S27,eS27","1q21.3","S ribosomal proteins"
"HGNC:10417","RPS27A","ribosomal protein S27a","","UBCEP80,Uba80,S27A,eS31","2p16.1","S ribosomal proteins"
"HGNC:18476","RPS27L","ribosomal protein S27 like","","","15q22.2","S ribosomal proteins"
"HGNC:10418","RPS28","ribosomal protein S28","","S28,eS28","19p13.2","S ribosomal proteins"
"HGNC:10419","RPS29","ribosomal protein S29","","S29,uS14","14q21.3","S ribosomal proteins"
"HGNC:3597","FAU","FAU ubiquitin like and ribosomal protein S30 fusion","","RPS30,FLJ22986,Fub1,Fubi,MNSFbeta,asr1,S30,eS30","11q13.1","S ribosomal proteins"
